id,query1,query2,label
67,椒目葶苈汤能治疗胸膜炎吗？,胸膜炎可以运动吗？,0
68,肺气肿该怎么治疗好？,怎样治疗肺气肿有效,1
69,肺炎引起的高烧不退怎么处理?,肺炎会引起高烧吗,0
70,胸膜炎、胸部疼痛怎么办,胸膜炎、胸部疼痛怎么处理,1
71,扁桃体老是反复每次掉几瓶药水怎么好,扁桃体老是反复是为什么？,0
72,感冒了会影响血常规检查吗,发烧期间抽血，化验结果准确吗,0
73,怎样判断是变异性哮喘呢?,如何判断是否患有变异性哮喘,1
74,布洛芬混悬液吃多了如何让处理？,小儿退烧药吃过量了有什么后果吗？,0
75,吃惠菲宣愈美片后发烧了是副作用吗,吃惠菲宣愈美片后会不会过敏,0
76,孩子感冒发烧，打几天点滴，不见好转怎么办,孩子感冒发烧需要查血吗,0
77,得了肺气肿会有什么危害吗？,得了肺气肿可导致什么后果？,1
78,宝宝反复上呼吸道感染怎么办，是免疫低,反复呼吸道感染 宝宝免疫低下,0
79,小孩受凉感冒那种感冒药能用,小孩受凉感冒吃什么感冒药效果好,1
80,体质不好容易感冒怎样治？,体质弱容易感冒怎么办？,1
81,你好我想知道黄葵胶囊是不是医保用药,请问黄葵胶囊是医保用药吗,1
82,服用金莲花胶囊有什么是需要注意的？,金莲花胶囊服用时的注意事项有哪些？,1
83,"怀孕初期吃了感冒药,孩子不能要吗",怀孕初期感冒了是免疫力下降吗,0
84,肺炎胸膜炎是什么引起的,肺炎胸膜炎患者传染吗,0
85,请问干性胸膜炎用什么药？,请问干性胸膜炎用什么药最好？,0
86,支原体肺炎一般要治疗多久能好,肺炎支原体多久能治好？,1
87,复方天仙胶囊可以治疗哪些病,复方天仙胶囊成分是什么,0
88,轻微肺气肿还能活四十年吗？,轻微肺气肿能否活四十年？,1
89,口腔感染医生说是厌氧菌所致的怎么处理？,厌氧菌所致的口腔感染有什么症状？,0
90,哺乳期吃了感冒药多久可以喂奶,哺乳期吃过感冒药多长时间可以喂奶？,1
91,支原体肺炎好后反复咳嗽该如何治疗？,支原体肺炎好有哪些症状？,0
92,在哪里有卖胸膜炎清肺十八味丸，多少钱,清肺十八味丸和胸膜炎有什么关系,0
93,严重的慢性肺炎会传染吗?,严重的慢性肺炎的传播途径有哪些啊？,0
94,孩子上呼吸道感染可以吃那种药,孩子上呼吸道感染挂什么科室,0
95,请问怀孕早期感冒对胎儿有影响吗？,怀孕初期吃感冒药或其他多药会怎么样呢？,0
96,肺炎主要高烧不退怎么办?,高烧会导致肺炎吗,0
97,消化不良能不能服用百补增力丸,百补增力丸是中成药处方药吗,0
98,肺气肿病人吃什么食物较好?,肺气肿不能吃什么？,0
99,蒲地蓝消炎口服液治疗宝宝流鼻涕管用吗？,宝宝喝蒲地蓝消炎口服液能治好流鼻涕吗？,1
100,消炎止痛服用众生丸有用吗,消炎止痛服用众生丸有效果吗？,1
101,23价肺炎疫苗需要打多少针,23价肺炎疫苗打过后能洗澡吗,0
102,宝宝有透明粘鼻涕怎么办,宝宝有透明粘鼻涕能吃消炎药吗,0
103,肺癌不咯血是不是情况好转了？,肺癌会不会咯血？,0
104,孩子上呼吸道感染引起反复发烧是原因,孩子上呼道感染反复发烧是肺炎吗,0
105,宝宝刚满月老是打喷嚏流脓鼻涕怎么办才好,一月龄婴儿打喷嚏流浓鼻涕该如何是好？,1
106,晚上明显感觉阴囊有潮湿现象并且发凉怎么办？,阴囊发凉有潮湿现象晚上感觉明显该吃哪种药？,0
107,请问曾肺炎现在肺经常不舒服该怎么办？,以前有肺炎现在肺经常不舒服有什么方法,1
108,总是干咳晚上比较严重用哪种药物可以康复,什么原因引起的干咳,0
109,孕妇能喝复方甘草口服溶液吗？,孕妇能闻复方甘草口服液的味道吗,0
110,肺气肿与COPD怎么鉴别诊断,肺气肿病有什么症状？,0
111,感冒会引起过敏性哮喘吗？,过敏性紫癜的孩子感冒了怎么护理？,0
112,感冒要怎么治才会好得快？,感冒了咳嗽得很厉害，可以喝冰水吗？,0
113,怀孕第一个月吃感冒药有影响吗？,感冒药的注意事项是什么,0
114,检查有没胸膜炎要做什么检查,检查有没胸膜炎前能吃饭吗,0
115,肺炎可以多吃菠菜吗,多吃菠菜对肺炎有影响吗,1
116,5岁宝宝支原体肺炎咳嗽厉害，不发烧,宝宝发烧肺炎支原体是阳性怎么办？,0
117,请问肺炎是怎样引起的？,肺炎怎样自我预防,0
118,宝宝流清鼻涕，吃什么药好？,宝宝流清鼻涕，能吃什么药？,1
119,想问问盆腔炎的临床症状表现是什么，求解,盆腔炎有什么样的临床表现症状呢？,1
120,上呼吸道感染引起的原因有哪些,上呼吸道感染是什么原因造成的,1
121,请问有什么好的办法可以预防感冒的发生？,预防感冒的办法是什么,1
122,沙雷菌肺炎的治疗方法有哪些,沙雷菌肺炎是什么引发的？,0
123,鼻息肉会带来哪些危害？,鼻息肉都有什么危害,1
124,小儿支原体肺炎传染吗？,小儿支原体肺炎是怎么传播的？,0
125,过敏性哮喘比较厉害，喘不过气了怎么办,过敏性哮喘为什么晚上严重,0
126,治疗过敏性哮喘哪里比较好?,过敏性哮喘要持续吃药吗,0
127,咳嗽变异性哮喘的症状有哪些,咳嗽变异性哮喘能根治？,0
128,妈妈咳嗽厉害去医院检查肺炎,妈妈咳嗽厉害去医院做了个检查,0
129,弗郎西丝菌肺炎如何食疗,弗郎西丝菌肺炎食疗方法是什么？,1
130,胸膜炎、胸部疼痛怎么办,胸膜炎胸部痛怎么治疗,1
131,得了肺炎会很容易死人吗,得了肺炎了要怎么办？,0
132,肩膀上感觉有个疙瘩，好像在肉里怎么办？,有一个疙瘩在肩膀上的肉里怎么办？,1
133,宝宝流鼻涕鼻子不通该咋办,鼻子不通对宝宝有影响吗？,0
134,儿童支原体肺炎该如何治疗？,孩子得了支原体肺炎要怎么治疗？,1
135,葫芦兄弟阿奇霉素干混悬剂不良反应大吗,葫芦兄弟阿奇霉素干混悬剂对于治疗病毒感染有用吗,0
136,匹多莫德分散片和口服液哪个效果好,匹多莫德分散片属于中药吗,0
137,革兰阴性杆菌肺炎的症状有哪些,革兰阴性杆菌肺炎的症状表现有什么？,1
138,支气管炎哮喘吃啥药好？,支气管炎哮喘有什么症状？,0
139,怎么治疗过敏性哮喘效果佳？,如何治疗过敏性哮喘最好呢？,1
140,咳嗽变异性哮喘用什么方法治疗好,变异性哮喘有什么症状？,0
141,宝宝哮喘性支气管炎怎么办,宝宝哮喘性支气管炎该怎么治疗？,1
142,哺乳期感冒吃什么药能好？,哺乳期的妈妈感冒可以喝清热解毒口服液？,0
143,请问肺气肿该怎么治疗好？,请问医生肺气肿怎么治疗？,1
144,吃了结核性胸膜炎的药影响生育吗？,一般治疗胸膜炎的药哪个效果好,0
145,变异性哮喘需要做哪些检查,什么是变异性咳嗽哮喘？,0
146,肺气肿有急性和慢性之分吗？,肺气肿病人要注意什么事项？,0
147,百令胶囊和补肺活血胶囊哪个好,百令胶囊和补肺活血胶囊能一起服用吗,0
148,慢阻肺与肺气肿这两种疾病有什么区别？,慢阻肺与肺气肿与别的病有关系吗？,0
149,胸膜炎患者能不能喝羊奶粉？,请问胸膜炎是什么症状？,0
150,严重的慢性肺炎是不是会传染给家人啊,严重的慢性肺炎有传染性吗,1
151,治疗急性肺气肿的办法？,急性肺气肿有什么症状？,0
152,大腿根筋疼是什么原因造成的,孩子大腿内侧筋突然疼痛是什么原因,0
153,13价肺炎与23价肺炎怎么回事?,13价肺炎有副作用吗,0
154,阿莫西林胶囊联邦阿莫仙有效期多长时间呢,阿莫西林胶囊联邦阿莫仙可以保存多长时间,1
155,老公感冒时同房怀孕了有影响吗,老公感冒时同房怀孕了该怎么办才好,1
156,只垂性肺炎的治疗方法有哪些？,只垂性肺炎的治疗方法靠谱吗？,0
157,排卵期感冒了，对怀孕有影响吗,排卵期感冒喝板蓝根行吗,0
158,哮喘的检查方法都有哪些啊？,肺功能检查正常能否诊断为哮喘？,0
159,变异性哮喘常见的症状有哪些?,变异性哮喘该如何治疗,0
160,阿司匹林会导致哮喘吗？,阿司匹林有什么副作用？,0
161,宝宝流鼻涕是感冒了吗？,宝宝流鼻涕是不是感冒了？,1
162,氢溴酸右美沙芬口服溶液有怎样的功效,美沙芬一次性吃太多，会导致什么问题？,0
163,请问过敏性哮喘是怎么引起的呢?,请问过敏性哮喘和季节有关系吗,0
164,小孩肺炎治疗方法有哪些呢?,小儿肺炎有什么症状,0
165,上呼吸道感染症状严重吗?,上呼吸道感染引起的小儿咳嗽怎么治疗？,0
166,铜绿假单胞菌肺炎的治疗方法有哪些,铜绿假单胞菌肺炎如何用药？,0
167,宝宝哮喘性支气管炎怎么办,宝宝哮喘性支气管炎是什么原因？,0
168,咳嗽变异性哮喘能够完全治疗康复吗,咳嗽变异性哮喘怎么治疗,0
169,请问风湿性胸膜炎是什么？,请问风湿性胸膜炎吃什么药好？,0
170,23价肺炎疫苗价格多少呢？,打一次23价肺炎疫苗用多少钱,1
171,哪些疾病适合吃克拉霉素胶囊,克拉霉素可以吃多少天,0
172,哮喘发作时是否需要使用抗生素,哮喘发作有什么症状？,0
173,感冒咽喉肿痛吃什么药见效快？,感冒咽喉肿痛吃什么药管用？,1
174,支气管炎的最佳治疗方法是什么,支气管炎有什么病症？,0
175,小孩经常咳嗽是什么原因引起的,小孩子经常咳嗽是什么原因？,1
176,为什么使用双黄连注射液应做皮试？,使用双黄连注射液为什么要做皮试？,1
177,吃感冒药会影响月经推迟吗,月经期喝红糖水可以吗,0
178,治疗急性支气管炎有什么方法？,急性支气管炎的治疗方法是什么？,1
179,肺炎的孩子要咋饮食,肺炎的孩子饮食该怎么调理？,0
180,变异性哮喘对患者身体影响有哪些,变异性哮喘是指什么？,0
181,请问克拉霉素缓释片一个疗程多久,请问克拉霉素缓释片的服药禁忌是什么,0
182,长期久坐得胸膜炎的可能性大吗,长期久坐可能得胸膜炎吗？,1
183,请问曾肺炎现在肺经常不舒服该怎么办？,肺炎会经常咳嗽吗,0
184,23价肺炎疫苗的不良反应有什么？,23介肺炎疫苗有必要打吗,0
185,你好百令胶囊吃多久见效,百令胶囊服用几天可见成效,1
186,肺炎支原体发高烧怎么办,肺炎支原体发高烧怎么处理？,1
187,万托林硫酸沙丁胺醇气雾剂是什么药,万托林硫酸沙丁胺醇气雾剂是怎样的药？,1
188,间质性肺炎和肺炎的区别是什么,间质性肺炎能不能治好？,0
189,23价肺炎疫苗有不良反应吗?,23价肺炎疫苗的不良反应有什么？,1
190,感冒可以喝龙牡壮骨颗粒吗,感冒能不能喝龙牡壮骨颗粒,1
191,从胸片能看出是什么胸膜炎吗,从胸片能看出胸膜炎类型吗,1
192,过敏性哮喘的症状是那些?,过敏性哮喘的危害有多大,0
193,6个月宝宝流鼻涕能打疫苗吗,6个月宝宝流鼻涕打疫苗会怎样,0
194,请问病毒性感冒症状有哪些,病毒性感冒症状有什么？,1
195,吃什么药可以治疗上呼吸道感染？,上呼吸道感染吃什么消炎药？,0
196,变异性哮喘有啥样症状和控制方法?,变异性哮喘有哪些症状以及如何控制,1
197,胃肠型感冒，吐过，就是感冒了吗,感冒期间呕吐难受是不是肠胃性感冒,1
198,小孩感冒流鼻涕可以吃什么水果,小孩感冒流鼻涕是感冒了吗？,0
199,七个月大的宝宝流鼻涕怎么办?,七个月大的宝宝流鼻涕该怎么做？,1
200,胸膜炎会引起反复发烧吗,胸膜炎治好后会复发吗,0
201,得了肺气肿不能吃什么？,肺气肿不能吃什么东西的？,1
202,哮喘治好了，为什么总是胸闷的很,哮喘治好了，总是胸闷的很是什么原因？,1
203,哺乳期感冒该怎么办效果最好,哺乳期感冒有什么好的治疗办法,1
204,三个月宝宝鼻子呼呼响没看到鼻涕有什么方法,三个月宝宝鼻子呼呼响是感冒了吗,0
205,感冒鼻子闻不到味道是什么原因,感冒鼻子闻不到味道是上呼吸道感染吗,0
206,上呼吸道感染吃什么药好,上呼吸道感染有什么特效药？,1
207,肺气肿可以吃蜂蜜花粉吗？,肺气肿在饮食上有哪些禁忌？,0
208,肺炎胸膜炎会引起室早吗？,肺炎胸膜炎不治疗会怎么办,0
209,武汉肺炎是什么原因引起的?,新型支原体肺炎疫苗,0
210,肺结核和肺气肿推荐吃的食物有哪些,肺气肿和肺结核有关系吗,0
211,复方甘草口服溶液适合什么人群使用,复方甘草口服溶液可以给哪些人服用,1
212,肺炎需要怎样治,肺炎最佳治疗方法是什么,1
213,得了过敏性哮喘怎么治？,怎么治疗过敏性哮喘比较好,1
214,23价肺炎疫苗的注射时间是什么时候,打过23价肺炎疫苗多长时间产生抗体,0
215,哮喘病平时应该注意什么?,哮喘病是怎么得上的？,0
216,血常规能检查胸膜炎吗？,血常规检查项目都有什么,0
217,巨能清热解毒口服液主治什么疾病,巨能清热解毒口服液在服用期间能吃别的药吗,0
218,请问胸膜炎哪些项目需要复查？,请问胸膜炎哪些项目要进行复查？,1
219,小儿支原体肺炎弱阳性严重吗？,小儿支原体肺炎弱阳性是否严重？,1
220,两肺肺气肿、心隔未见异常该怎么办?,两肺肺气肿、心隔是怎么回事？,0
221,30岁肺气肿能活多久?,肺气肿病有什么症状？,0
222,儿童支原体肺炎如何治疗,小儿支原体肺炎是什么？,0
223,一直流鼻涕打喷嚏怎么办,流鼻涕打喷嚏，可以吃点什么呢？,0
224,胸膜炎人可以喝羊奶粉吗,胸膜炎病人适宜喝羊奶粉吗？,1
225,阿莫西林胶囊可以和贝诺脂片一起吃吗？,贝诺脂片和阿莫西林一块儿吃有药效吗？,0
226,盐酸氨溴索与罗红霉素可同时服用吗,罗红霉素氨溴索片是什么药？,0
227,治疗肺气肿能办慢性病门诊吗？,怎么治疗肺气肿？,0
228,小孩肺炎严重吗，要怎么预防,小孩肺炎有哪些症状？,0
229,请问老年人慢支肺气肿怎么治疗？,老年人慢支肺气肿该怎么治？,1
230,小儿支原体肺炎，需要如何治疗?,小儿支原体肺炎是什么症状？,0
231,上呼吸道感染咳嗽厉害吃什么药,上呼吸道感染咳嗽厉害吃哪种药,1
232,结核性渗出性胸膜炎有什么治疗方法？,结核性渗出性胸膜炎严重吗,0
233,有宝宝得肺气肿不咳嗽不喘只发烧的吗?,宝宝得了肺气肿发烧吗,0
234,肺气肿病人吃什么食物较好?,肺气肿吃什么中药？,0
235,服用清热解毒软胶囊出现头痛该怎么办呢,服用清热解毒软胶囊出现头痛咋办呢,1
236,怀孕2个月感冒了，怎么办啊？,孕妇能做无氧运动吗,0
237,咳嗽老是不好总是反反复复咳得难受怎么办,咳嗽是因为感冒了吗,0
238,怀孕期间感冒了，对胎儿都有什么影响,怀孕期间感冒对胎儿影响都有什么,1
239,肺气肿肺大泡肝上还有个囊肿是否严重？,肺气肿肺大泡肝上有个囊肿严不严重？,1
240,胸膜炎的症状表现是什么？,得胸膜炎会有哪些症状？,1
241,咯血的话应该怎么抢救？,咯血的话应该如何预防？,0
242,干咳无痰吃通宣理肺丸效果如何,肺结核患者可以吃通宣理肺丸吗,0
243,肺炎一般吊水需要多久能痊愈,肺炎是呼吸道疾病吗,0
244,宝宝有必要打肺炎疫苗吗？,宝宝打肺炎疫苗都有什么反应？,0
245,6岁的小孩得了肺炎该怎么办,6岁的小孩得了肺炎怎么治疗,1
246,红霉素肠溶片能治好尿道炎吗,红霉素肠溶片有什么副作用？,0
247,为什么剧烈运动后喝水会得胸膜炎,剧烈运动后喝水会得胸膜炎为什么,1
248,服用替硝唑片需要注意什么?,请问一下服用替硝唑片时应该注意些什么呢,1
249,支原体肺炎刺激性咳反复发作可以用什么药,支原体肺炎刺激性咳反复发作该吃什么药？,1
250,经常感冒流鼻涕，是什么原因？,为什么感冒就一直流鼻涕,1
251,您好干咳无痰适合吃通宣理肺丸吗,干咳无痰吃通宣理肺丸效果如何,1
252,小孩肺炎饮食需要注意哪些?,宝宝肺炎有什么症状,0
253,孕妇肺炎支原体弱阳性是什么意思?,儿童肺炎支原体弱阴性怎么治疗?,0
254,修正阿莫西林胶囊多少钱一盒？,修正阿莫西林胶囊的价格是多少,1
255,怀孕的妈妈感冒对宝宝有什么影响吗,多喝白开水吃水果能预防感冒吗,0
256,病毒性感冒一般几天能好,病毒性感冒跟流行感冒一样吗,0
257,打一针肺炎疫苗能管多久?,打一针肺炎疫苗需要多少钱,0
258,支原体肺炎打点滴好还是吃药效果好？,支原体肺炎有哪些症状？,0
259,咳嗽变异性哮喘如何治疗,怎样治疗咳嗽变异性哮喘？,1
260,治疗过敏性哮喘的药哪些疗效好,吃什么药治过敏性哮喘疗效好,1
261,九个月宝宝流鼻涕怎么治,九个月宝宝流鼻涕有什么妙招,1
262,请问顺尔宁可以治支原体衣原体肺炎吗会有效果吗？,请问顺尔宁能否治支原体衣原体肺炎有没有效果？,1
263,颈椎疼喝颈痛片会对哮喘有关系吗？,哮喘不能吃什么药？,0
264,肺气肿的检查项目有哪些？,肺气肿患者需要做什么检查？,1
265,哮喘咳嗽吃什么水果好？,哮喘咳嗽适宜吃什么水果效果好？,1
266,肺气肿应该怎么治疗，应注意什么？,初期肺气肿，有什么特效药吗？能治愈吗？应注意什么？,0
267,来月经时能不能吃感冒药,来月经是否可以吃感冒药,1
268,咳嗽变异性哮喘该怎么治疗最好,咳嗽变异性哮喘症状有什么,0
269,喉康散刚刚满2周岁的小孩能使用吗,喉康散可以治疗空腔溃疡吗,0
270,哺乳期感冒流鼻涕打喷嚏如何是好,哺乳期感冒流鼻涕打喷嚏有什么办法,1
271,孕妇能喝姜汤红糖水吗感冒了,怀孕10周的妈妈发烧了喝葱姜水胎儿有影响吗,0
272,哮喘最佳治疗方法是什么,目前最好的哮喘药是什么？,0
273,怎么会得肺气肿？,肺气肿常见症状有什么？,0
274,支气管炎和哮喘有什么区别,支气管炎和哮喘的区别在哪？,1
275,陈旧性胸膜炎应注意什么,陈旧性胸膜炎有什么需要注意的,1
276,打喷嚏流鼻涕吃什么感冒药,打喷嚏流鼻涕可以喝可乐姜汤吗,0
277,请问：我为什么经常感冒？,请问：我经常感冒是病毒感染吗？,0
278,变异性哮喘要吃什么药?,变异性哮喘吃什么食疗,0
279,拉肚子可以吃阿莫西林胶囊吗,拉肚可以喝红糖姜水吗,0
280,咳嗽变异性哮喘做什么检查可以确诊？,咳嗽变异性哮喘要怎么治疗啊？,0
281,肺炎支原体发高烧怎么办,肺炎支原体发烧几天？,0
282,心灵丸有什么副作用吗能否常吃呢,心灵丸是高血压和心脏病的常用药吗,0
283,新生儿先天性喉喘鸣怎么治疗,新生儿先天性喉喘鸣怎么办？,1
284,武汉肺炎是什么原因引起的?,新型肺炎是什么原因引起的,1
285,抗病毒口服液能治疗细菌性上呼道感染吗,细菌性上呼吸道感染可以吃抗病毒口服液吗,1
286,打喷嚏流鼻涕吃什么感冒药,打喷嚏流鼻涕的特效药,0
287,6岁小孩反复感冒咳嗽好后咽喉长了一些,小孩反复感冒咽喉长了怎么办？,1
288,23价肺炎疫苗是否一定要打,23价肺炎疫苗多少钱,0
289,请问治疗胸膜炎可以使用激素吗?,请问使用激素可以治疗胸膜炎嘛？,1
290,宝宝肺炎的症状都有哪些,婴儿肺炎的症状有哪些？,1
291,肺炎胸膜炎会引起室早吗？,肺炎胸膜炎有什么症状,0
292,葵花胃康灵胶囊哪个牌子比较好,葵花胃康灵胶囊是专治胃病的药吗,0
293,孕妇肺炎支原体抗体弱阳性是什么病,孕妇得了肺炎支原体抗体弱阳性能吃药吗,0
294,男朋友咬破胸部得胸膜炎的可能性大吗,男朋友咬破胸部怎么样清理,0
295,感冒流鼻涕咳嗽有痰该怎么办,怎么治疗感冒流鼻涕咳嗽有痰,1
296,陈旧性胸膜炎应注意什么,陈旧性胸膜炎怎么治疗？,0
297,怀孕五个多月感冒了怎么办,怀孕五个多月感冒对胎儿有影响吗,0
298,请问八个月的宝宝老是流鼻涕怎么办？,宝宝流鼻涕咳嗽打喷嚏是什么问题？,0
299,有什么方法可以治疗肺气肿？,肺气肿治疗方法有哪些？,1
300,六个月的婴儿，轻微流鼻涕怎么办？,六个月的宝宝有点流鼻涕采取什么办法？,1
301,百令胶囊的服用时间是怎么样的呢,长期服用百令胶囊有什么危害,0
302,肺气肿能治好吗，可以恢复到以前吗,肺气肿吃什么治疗效果好？,0
303,胸膜炎引起肺委缩好治吗,什么是肺委缩,0
304,小孩肺炎有什么好的偏方吗?,小儿肺炎的诊断是什么,0
305,小孩上呼吸道感染吃什么药,小孩呼吸道感染不咳嗽好不好,0
306,刻康消炎片哺乳期妇女能用吗,吃刻康消炎片应该注意什么,0
307,头孢克肟可以医治上呼吸道感染吗？,头孢克肟可以医治上什么病状？,0
308,哮喘病的发病原因有哪些？,哮喘病有哪些症状？,0
309,请问肺气肿有什么症状？,肺气肿有什么药可以治？,0
310,结合性胸膜炎检查x光能看出问题吗,检查x光能看出结合性胸膜炎有问题吗,1
311,日诺清热解毒口服液好不好用,喝日诺清热解毒口服液有用吗,1
312,哪些中草药能治肺气肿?,肺气肿用什么中草药能治好？,1
313,明兴清开灵颗粒的价格怎么样,明兴清开灵颗粒的价格一般人可以接受吗,1
314,依托红霉素片一次吃多少,依托红霉素片多少钱在哪买？,0
315,米氏链球菌肺炎如何诊断检查,米氏链球菌肺炎是什么病？,0
316,上呼吸道感染，会传给家里人吗？,下呼吸道感染，会传给家里人吗？,0
317,怀孕期间感冒了，对胎儿都有什么影响,怀孕期间感冒对胎儿影响都有什么,1
318,肺气肿注意事项有哪些,肺气肿要注意些什么,1
319,治疗儿童支原体肺炎阿奇霉素要吃几个疗程药？,儿童支原体肺炎需要吃阿奇霉素几个疗程？,1
320,肺气肿影像报告怎么写？,肺气肿病人要注意什么事项？,0
321,想问问盆腔炎的临床症状表现是什么，求解,盆腔炎吃什么能治疗呢？,0
322,婴儿上呼吸道感染是什么引起的,上呼吸道感染会引起胸闷气短吗,0
323,肾囊肿可以服用百令胶囊吗？,肾囊肿吃什么药好？,0
