id,query1,query2,label
71,琦鹰汉藏七味螃蟹甲丸的作用效果大吗,琦鹰汉藏七味螃蟹甲丸的效果好吗,1
72,六个月的宝宝有点流鼻涕如何是好？,六个月的婴儿，轻微流鼻涕怎么办？,1
73,服用鹤蟾片有什么不良反应,服用鹤蟾片有哪些副作用,1
74,肺炎支原体多久能治好？,支原体肺炎一般需要几天能治好？,1
75,马应龙的复方甘草口服溶液有什么用,复方甘草口服溶液服用时有什么禁忌,0
76,青霉素过敏能不能吃阿莫西林胶囊？,青霉素过敏吃阿莫西林胶囊有效果吗？,0
77,金莲花片的功效是什么,服用金莲花片会有什么不良反应,0
78,肺炎能引起淋巴管扩张吗,淋巴管扩张的危害有多少,0
79,支气管堵塞会引起胸膜炎吗,支气管堵塞应该怎么治疗,0
80,你好，月经期间能吃替硝唑片吗,你好，月经期间能吃替硝唑片会导致什么后果,0
81,婴儿流鼻涕流眼泪是什么感冒,婴儿流眼泪和泪腺有关吗,0
82,请问得了肺气肿在家要注意些什么？,肺气肿注意事项有哪些,1
83,擤鼻涕的时候感觉耳朵里面出气似的咋回事,擤鼻涕的时候总是感觉耳朵里面出气怎么回事,1
84,贞芪扶正颗粒可以辅助治疗胸膜炎吗,贞芪扶正颗粒是中药还是西药,0
85,肺炎支原体抗体传播途径有哪些？,肺炎支原体是通过什么方式传染的?,1
86,得了支气管炎该怎么做？,患了支气管炎如何是好？,1
87,有哮喘，阿司匹林肠溶片能否常吃,阿司匹林肠溶片可以治疗什么病？,0
88,一直不停的打喷嚏，感冒了怎么办呢？,感冒打喷嚏该怎么办呢？,1
89,扁桃体炎可以吃克拉霉素分散片吗？,克拉霉素分散片有什么注意事项吗？,0
90,葫芦兄弟阿奇霉素干混悬剂不良反应大吗,婴幼儿服用葫芦兄弟阿奇霉素干混悬剂饮食上需要注意什么,0
91,咳嗽造成肺炎正在打针能吃清蒸螃蟹吗,咳嗽造成肺炎正在打针吃清蒸螃蟹有什么后果,0
92,感冒了吃药时可以喝茶叶水吗？,感冒了吃药时能喝茶叶水吗？,1
93,小孩细菌性感冒需要挂几天液体,小孩细菌性感冒需要多久好,1
94,肺气肿能否治愈？能恢复成以前的状态吗？,肺气肿能不能治好？能否恢复如初？,1
95,"确诊患了咳嗽变异性哮喘,应该吃什么药",咳嗽变异性哮喘注意些什么？,0
96,肺气肿患者晚期怎么办？,肺气肿患者晚期如何是好？,1
97,23价肺炎疫苗需要打吗,23价肺炎疫苗用不用打,1
98,要是孕妇感冒了吃什么好？？,要是孕妇感冒了吃什么药,0
99,23价肺炎疫苗该打吗?,23价肺炎疫苗可以不打吗,1
100,肺气肿两肺肺大泡怎么治疗,要怎么医治肺气肿两肺肺大泡？,1
101,两种感冒药混吃会要命吗,维c和清开灵能混在一起吃吗,0
102,大肠杆菌性肺炎是什么病,大肠杆菌性肺炎能治疗吗？,0
103,反复过敏性哮喘如何用药?,反复过敏性哮喘的症状是什么,0
104,新型冠状肺炎发热多少度,新型冠状病毒肺炎体温发热多少,1
105,九个月宝宝流鼻涕有什么好办法,九个月宝宝流鼻涕有什么办法,1
106,哺乳期感冒怎么办最有效,哺乳期感冒最有效的办法是喝水吗,0
107,上呼吸道感染是什么原因造成的,引起上呼吸道感染的原因是什么？,1
108,最近胸闷咳嗽呼吸困难是不是得了哮喘？,哮喘有哪些症状表现？,0
109,肺炎支原体发高烧如何是好？,肺炎支原体发高烧怎么处理？,1
110,一直流清鼻涕打喷嚏吃什么药效果好？,一直流清水鼻涕打喷嚏吃什么药效果好,1
111,小孩肺炎的早期症状有哪些?,肺炎有什么分类吗,0
112,孕妇感冒能不能喝板蓝根,孕妇感冒了能不能喝板蓝根？,1
113,同仁堂百补增力丸适应症有哪些效果好不好？,同仁堂百补增力丸的效果好吗？,1
114,请问肺炎能引起氮质血症吗？,氮质血症为什么会贫血,0
115,哺乳期感冒该怎么办效果最好,哺乳期感冒有什么好的治疗办法,1
116,宝宝有透明粘鼻涕怎么办,宝宝有透明粘鼻涕需要治疗吗,1
117,连续剧烈无痰干咳怎么治疗能彻底康复呢,吃什么药可以治疗干咳无痰呢,1
118,肠痉挛但是不疼严重吗？,不疼的肠痉挛严重吗？,1
119,鼻渊通窍颗粒有降温的作用吗,鼻渊通窍颗粒有降温的效果吗,1
120,23价肺炎疫苗有必要给宝宝打吗?,宝宝怎么打23价肺炎疫苗,0
121,哺乳期感冒了能吃感冒药吗,哺乳期感冒对孩子有影响吗,0
122,你好，月经期间能吃替硝唑片吗,你好，月经期间能可不可以吃替硝唑片,1
123,变异性哮喘什么方法治疗最好？,变异性哮喘症状是什么,0
124,为什么会肺炎支原体抗体弱阳性,肺炎支原体抗体弱阳性是什么情况,1
125,感冒引起心跳加速吗?,感冒导致心跳加速吗?,1
126,咳嗽总是反复怎么回事,咳嗽得难受用什么办法可以缓解症状,1
127,13价肺炎疫苗需要多少钱,打13价肺炎疫苗需要多少钱呀,1
128,一直流清鼻涕打喷嚏吃什么药效果好？,一直流清水鼻涕打喷嚏吃什么药效果好,1
129,变异性哮喘要吃什么药?,变异性哮喘吃什么食疗,0
130,23价肺炎疫苗有必要给宝宝打吗?,宝宝23价肺炎疫苗必须打吗,1
131,引起结核胸膜炎的是什么,结核胸膜炎需要抽血化验吗,0
132,23价肺炎疫苗要打几针合适呢?,4婴儿23价肺炎疫苗要打3针呼吸声大是肺炎吗,0
133,子宫发炎可以喝依托红霉素吗,子宫发炎是什么病,0
134,服用富露施可能会出现哪些不良反应,服用富露施会有哪些副作用,1
135,有什么方法可以治疗肺气肿？,肺气肿常见症状有什么？,0
136,百利阿莫西林胶囊的主治疾病有哪些？,百利阿莫西林胶囊适合什么人群服用？,0
137,感冒流鼻涕吃什么药好？,流鼻涕的孩子是不是上呼吸道感染？,0
138,肺炎支原体抗体弱阳性是什么意思?,肺炎支原体抗体弱阳性怎么办？,0
139,孕妇感冒了能吃感冒灵颗粒吗,孕妇感冒吃哪种感冒颗粒好,0
140,23价肺炎疫苗要不要打,23价肺炎疫苗必须打吗,1
141,过敏性哮喘怎么治疗好?,过敏性哮喘有什么好的治疗方法,1
142,我想了解一下需要吸氧治疗,吸氧治疗对于肺气肿管用吗？,0
143,藿香正气口服液和感冒药能一起用吗,拉肚子能喝藿香正气口服液吗,0
144,感冒引起声音沙哑该怎么治疗？,因感冒导致声音沙哑怎么办好？,1
145,儿子是支原体肺炎医生开了博利康尼是吗,小孩支原体肺炎吃博利康尼有何副作用？,0
146,肺炎导致的胸膜炎疼痛该怎么止痛,肺炎引起的胸膜炎疼痛应该如何止疼,1
147,做雾化对咳嗽变异性哮喘有用吗,咳嗽变异性哮喘做雾化效果好吗,1
148,椒目葶苈汤可以治疗胸膜炎吗,怎样治疗胸膜炎？,0
149,感冒流鼻涕需要吃什么药？,感冒流鼻涕能吃什么药？,1
150,23介肺炎疫苗有必要打吗,23介肺炎疫苗打了有什么好处吗,0
151,消散延迟性肺炎如何诊断检查,消散延迟性肺炎怎么治？,0
152,肺气肿属于怎样的疾病？,请问肺气肿是一种什么疾病？,1
153,药物过敏性休克该怎么治疗？,药物过敏性休克如何和预防？,0
154,餐中服用克拉霉素缓释片是什么意思？,为什么克拉霉素片要餐中服用？,1
155,孕妇感冒可以喝小柴胡颗粒吗,孕妇感冒要不要喝小柴胡颗粒,1
156,咳嗽变异性哮喘不能吃什么,咳嗽变异性哮喘是怎么回事,0
157,吃感冒药后喝酒会有什么危险吗,吃感冒药后喝酒会有什么危害,1
158,宝宝有点打喷嚏流鼻涕能不能打预防针,宝宝有点打喷嚏流鼻涕吃什么药好？,0
159,肺炎链球菌性肺炎吃什么药？,肺炎链球菌性肺炎怎么诊断？,0
160,服用鹤蟾片有什么不良反应,服用鹤蟾片有哪些不良反应,1
161,肺气肿，52岁，该吃什么药？,肺气肿能活多久？,0
162,感冒喉咙痛吃什么水果好,感冒喉咙痛能吃火龙果吗,0
163,请问感冒发烧肺炎怎么办？,咳嗽发烧是肺炎吗,0
164,肺炎治好了会有哪些后遗症吗？,宝宝得了肺炎，会有后遗症吗,1
165,身患结核病肠跟组肺气肿吃什么食物好,肺结核和肺气肿推荐吃的食物有哪些,1
166,患有肺气肿要不要紧严重吗？,肺气肿如何预防？,0
167,得了小儿支原体肺炎会传染给别人吗？,得了小儿支原体肺炎吃什么药好？,0
168,咨询一下百令胶囊是处方药吗,咨询一下百令胶囊是不是处方药,1
169,间质性肺炎晚期可以活多长时间,间质性肺炎和肺炎的区别是什么,0
170,感冒还能喝龙牡壮骨颗粒吗,感冒不可以喝龙牡壮骨颗粒吗,0
171,伊龙清热解毒口服液有没有假的呢,市面上有卖假的伊龙清热解毒口服液吗,1
172,宝宝肺炎支原体感染可以治好吗？,婴儿支原体肺炎的症状有哪些？,0
173,肺炎支原体抗体弱阳性是什么意思?,肺炎支原体抗体是什么,0
174,胸膜炎 清肺十八味丸在哪里有卖的什么价,在哪里可以买到胸膜炎清肺十八味丸什么价,1
175,小儿支原体肺炎有什么症状,小儿支原体肺炎怎么治？,0
176,患了肺气肿一般会有哪些症状表现啊,肺气肿有哪些症状？,1
177,哺乳期感冒怎么办最有效,哺乳期感冒应注意什么,0
178,高血压患者服用伤风停胶囊治疗伤风感冒可以吗,高血压患者能喝酒吗,0
179,你好请问达肺草有哪些作用,服用达肺草需要注意什么吗,0
180,新型冠状病毒感染的肺炎有哪些症状,感染冠状病毒的潜伏期是多长？,0
181,治疗肺气肿能办慢性病门诊吗？,肺气肿是慢性病吗？,0
182,请问顺尔宁能治什么疾病？,请问顺尔宁有什么副作用吗？,0
183,如何治疗肺气肿加心脏早搏骤停?,肺气肿加心脏早搏骤停该怎么治?,1
184,青少年得了肺炎怎么办?,肺炎治好后有后遗症吗,0
185,支气管炎和哮喘有什么区别,气管炎和哮喘的区别是什么？,1
186,复方甘草口服溶液具体该怎么用谢谢,喉咙有痰可以喝复方甘草口服溶液吗,0
187,非典型肺炎的致病病毒属于超抗原吗?,非典型肺炎的致病病毒属不属于超抗原？,1
188,哺乳期吃了感冒药多久可以喂奶,哺乳期吃了感冒药什么时候可以喂奶,1
189,做什么检查能确诊哮喘？,哮喘做什么检查能够确诊？,1
190,3个月宝肺炎恢复期咳嗽怎么办,3个月宝肺炎恢复期咳嗽严重吗？,0
191,咳嗽变异性哮喘中医治疗哮喘疗效会比较好吗？,中药可以根治变异性哮喘吗？,0
192,小儿支气管支原体肺炎打针后还发烧是怎么了,为什么小儿支气管支原体肺炎打针后还发烧？,1
193,请问判定是不是胸膜炎要做什么检查？,请问判定是不是胸膜炎有哪些方法？,0
194,头孢克肟与头孢地尼的区别是什么？,头孢地尼和头孢克肟的区别有哪些,1
195,刚刚满月的婴儿感冒怎么办？,婴儿感冒没有别的症状不用药可以吗,0
196,老年人肺气肿治疗有哪些需要注意的？,老年人肺气肿治疗需要注意什么？,1
197,患有哮喘的老年人要注意什么？,老年人得了哮喘应注意哪些？,1
198,九个月的宝宝一直流鼻涕如何是好,九个月的宝宝一直流鼻涕怎么办才好？,1
199,肺气肿晚期应用什么药医治,肺气肿晚期能治疗吗？,0
200,巨能清热解毒口服液价格多少便宜吗,巨能清热解毒口服液治上呼吸道感染吗,0
201,肺炎病毒在空气中存活多久,在空气中肺炎病毒能存活多久,1
202,圣泰清热解毒口服液不是假的吧,圣泰清热解毒口服液可靠吗,1
203,肺气肿要怎么预防呢？,请问怎么预防肺气肿的发生？,1
204,得了过敏性哮喘能活多久?,怎样判断是不是哮喘,0
205,擤鼻涕的时候感觉耳朵里面出气似的怎么了？,擤鼻涕的时候感觉耳朵里面出气似的是怎么回事？,1
206,小儿支原体肺炎的恢复期治疗要注意什么,小孩支原体肺炎要怎么治疗,0
207,日诺清热解毒口服液多少钱,日诺清热解毒口服液成分是什么,0
208,你好百令胶囊味道好吗，苦还是咸？,你好百令胶囊是味道是怎样的？,1
209,小儿上呼吸道感染的原因有哪些？,小儿上呼吸道感染有哪些原因？,1
210,怀孕八个月能不能吃四季感冒片,孕妇8个月能吃四季感冒片吗,1
211,怀孕45天，严重感冒怎么治？,怀孕45天的妈妈严重感冒有什么办法,1
212,怎么治过敏性哮喘,过敏性哮喘治疗方法有哪些,1
213,哺乳期感冒吃什么药能好？,哺乳期妈妈感冒需要婴儿断奶吗,0
214,上呼吸道感染引起的小儿咳嗽怎么治疗？,小儿的上呼吸道感染引起的咳嗽怎么治疗？,1
215,小孩肺炎的早期症状有哪些?,小孩感染肺炎的原因,0
216,肺炎会产生什么后遗症呢,得了肺炎要注意什么,0
217,请问肺气肿加心脏早搏骤停怎么治疗?,肺气肿加心脏早搏骤停，怎么治疗?,1
218,咳嗽变异性哮喘，是由什么原因造成的,咳嗽变异性哮喘病人有什么注意事项吗？,0
219,治疗过敏性哮喘哪里比较好?,过敏性的药物都是激素吗,0
220,怎么样预防肺气肿的发生？,肺气肿吃什么食物最好？,0
221,我好像感冒了，鼻子流水不留鼻涕怎样治,我好像感冒了，鼻子流水不留鼻涕有什么办法,1
222,孕妇感冒能喝可乐姜汤吗,可乐姜汤治感冒吗,0
223,布地奈德混悬液有什么功效啊？,布地奈德混悬液的作用是什么？,1
224,"剧烈运动后咯血,是怎么了?",剧烈运动后咯血，是否很严重？,0
225,没有得过胸膜炎为什么会胸膜增厚,没有得过胸膜炎，该如何预防,0
226,咳嗽变异性哮喘可以治愈吗?,咳嗽变异性哮喘能治疗好吗,1
227,肺炎疫苗必须打吗,肺炎疫苗有必要打吗,1
228,肺炎支原体抗体弱阳性是什么意思?,肺炎支原体抗体弱阳性是什么情况,1
229,6岁的小孩得了肺炎该怎么办,儿童得了肺炎如何治疗,1
230,吃了阿莫西林胶囊能喝酒吗,阿莫西林胶囊能治什么病,0
231,小儿支原体肺炎有什么需要注意的？,小儿支原体肺炎的注意事项有哪些？,1
232,日诺清热解毒口服液卖多少钱,日诺清热解毒口服液多少钱,1
233,万托林硫酸沙丁胺醇气雾剂是什么药,万托林硫酸沙丁胺醇气雾剂有副作用吗？,0
234,得过胸膜炎后生宝宝可以吗,得过胸膜炎后能不能生小孩,1
235,克拉霉素分散片吃多了要怎么处理?,克拉霉素分散片饭中吃还是饭后吃,0
236,永喜盐酸多西环素肠溶胶囊有什么功效？,服用永喜盐酸多西环素肠溶胶囊不能吃什么？,0
237,哮喘支气管炎咳嗽好多年了怎么办,哮喘支气管炎有什么症状？,0
238,小孩子得了肺炎怎么办啊,我家孩子疑似肺炎怎么办啊？,1
239,怀孕27周了，感冒可以喝生姜水吗？,生姜水孕妇感冒了可以喝吗,1
240,怀孕期间感冒一直不好怎么办,刚怀孕，感冒了怎么办？,1
241,小儿上呼吸道感染可以预防吗？,可以预防小儿上呼吸道感染吗?,1
242,刚断了胸膜炎的药还会得肾结核吗,刚断了胸膜炎的药得肾结核的可能性大吗,1
243,顺尔宁孟鲁司特钠颗粒治疗哮喘的效果如何,顺尔宁孟鲁司特钠颗粒治疗过敏性鼻炎效果如何,1
244,那请问医生有胸膜炎常时间喝什么茶好呢,那请问医生有胸膜炎能长期喝什么茶比较好呢？,1
245,孕妇感冒吃什么药比较好,孕妇感冒吃哪种感冒药效果好,1
246,孩子肺炎怎么治疗能快速好起来,怎样治疗孩子肺炎好的快,1
247,请问病毒性感冒症状有哪些,病毒性感冒能吃什么药？,0
248,孕妇感冒最快治疗方法有哪些,怀孕期间感冒了，快速高效的治疗方法有哪几种,1
249,感冒引起声音沙哑该怎么治疗？,因感冒导致声音沙哑怎么办好？,1
250,请问肺炎是怎样引起的？,请问肺炎如何治疗,0
251,小儿支原体肺炎，需要如何治疗?,小儿支原体肺炎是什么症状？,0
252,兆康金莲花胶囊主要治疗什么病呢,兆康金莲花胶囊是苦的还是甜的呢,0
253,胸膜炎打头孢匹胺管用吗？,胸膜炎可以打头孢匹胺吗？,0
254,孕妇能喝姜汤红糖水吗感冒了,孕妇能不能喝姜汤红糖水,1
255,治支原体肺炎红霉素好不好,支原体肺炎打几天红霉素能好嘛？,0
256,肺炎支原体抗体弱阳性是什么意思?,肺炎支原体抗体弱阳性用吃药吗,0
257,怀孕感冒了怎么办？？？,怀孕感冒了有啥办法？？？,1
258,您好请问红霉素可以治疗中耳炎吗,红霉素能治愈中耳炎吗,1
259,请问得了胸膜炎要注意什么？,请问得了胸膜炎有什么需要注意的？,1
260,支原体肺炎好后反复咳嗽怎么治疗？,支原体肺炎好后反复咳嗽该如何治疗？,1
261,上呼吸道感染是什么原因导致的,上呼道感染可以受凉吗,0
262,胸膜炎做CT能查出来吗,胸透和胸部CT能检查胸膜炎吗？,0
263,23价肺炎疫苗能不能打,23价肺炎疫苗必须打吗,1
264,服用肾衰宁胶囊会降肌肝吗,服用肾衰宁胶囊能降肌肝吗,1
265,北京治疗过敏性哮喘哪里比较好?,如何治疗过敏性哮喘,0
266,过敏性哮喘用一直吃药吗?,过敏性哮喘需要长期吃药吗,1
267,怀孕感冒了吃了感冒清胶囊有影响吗？,怀孕感冒吃了感冒清会怎么样？,1
268,感冒咽喉肿痛吃什么药管用？,感冒咽喉肿痛吃什么药见效快？,1
269,23价肺炎疫苗的注射时间,23价肺炎疫苗有必要打吗,0
270,我经常感冒是怎么回事？,我经常感冒是什么原因？,1
271,小儿支原体肺炎复发了如何是好？,小儿支原体肺炎有什么症状？,0
272,红霉素肠溶片能不能治好尿道炎？,红霉素肠溶片有什么副作用？,0
273,胸膜炎的症状该吃什么药,胸膜炎症状要怎样冶吃什么药,0
274,葫芦兄弟阿奇霉素干混悬剂好用吗,葫芦兄弟阿奇霉素干混悬剂治疗支气管炎真的好用吗,1
275,肺炎多长时间能好,肺炎最佳治疗方案是什么,0
276,北京治疗过敏性哮喘哪里比较好?,应如何治疗过敏性哮喘？,0
277,变应性哮喘就是过敏性哮喘吗？,变应性哮喘怎么治疗？,0
278,上月吃感冒药期间老婆怀孕了，有影响吗,怀孕初期吃感冒药或其他药会怎么样呢？,0
279,过敏性哮喘的治疗方法有多少,过敏性哮喘都有是啥治疗方法,1
280,有宝宝得肺气肿不咳嗽不喘只发烧的吗?,宝宝得了肺气肿发烧吗,0
281,肺气肿可以吃蜂蜜花粉吗？,肺气肿能吃蜂蜜花粉吗？,1
282,怀孕23周6天，感冒了怎么治,怀孕感冒了要怎样做,1
283,肺炎反复发烧是怎么回事,肺炎反复发烧是什么原因引起的,1
284,什么中药可以缓解老人肺气肿？,老人肺气肿有什么症状？,0
285,小儿支原体肺炎弱阳性严重吗？,小儿支原体肺炎弱阳性是什么意思？,0
286,小孩子服用灵泰邦尼吃多少合适,儿童可以吃灵泰邦尼吗一次需要吃多少,1
287,感冒咳嗽会引起肺炎吗？,感冒咳嗽会不会引起肺炎呢？,1
288,牙齿痛可以吃阿莫西林克拉维酸钾胶囊吗,牙齿痛是怎么回事,0
289,怀孕期间感冒了推荐吃什么药,怀孕期间感冒推荐吃什么药,1
290,一直流清鼻涕打喷嚏吃什么药效果好？,一直流清水鼻涕打喷嚏吃什么药效果好,1
291,克拉霉素缓释片餐中服用是什么意思？,服用克拉霉素片对用餐前后有什么影响？,0
292,鸦胆子油软胶囊对癌症晚期有效吗,癌症晚期吃鸦胆子油软胶囊还有用吗,1
293,百令胶囊需要注意什么？,百令胶囊如何服用？,0
294,你好，两岁多女孩去医院检查为支原体肺炎该怎么治疗呢？,小孩支原体的病因是什么？,0
295,中医是怎么讲肺气肿这个病因的?,肺气肿传染吗？,0
296,胸膜炎是怎么引起的怕生气吗,胸膜炎是怎么引起的，跟生气有关系吗,1
297,普通感冒跟病毒性感冒的区别,病毒性感冒的标志是什么?,0
298,长期卧床的病人预防坠积性肺炎的办法？,长期卧床的病人怎样预防坠积性肺炎？,1
299,咳嗽、喘不过来气、呼吸不通畅怎么治疗,咳嗽呼吸不顺畅会导致哪些疾病？,0
300,新型冠状肺炎发烧多少度,肺炎发烧多少度,1
301,变异性哮喘的饮食注意，哪些食物不能吃,是什么导致变异性哮喘？,0
302,用什么药物可以治疗过敏性哮喘..,过敏性哮喘是什么？,0
303,接种肺炎疫苗能预防多久？,预防肺炎的疫苗什么时候打？,0
304,孕妇感冒能喝可乐姜汤吗,孕妇感冒可以喝可乐姜汤吗,1
305,冠状病毒感染性肺炎潜伏期,如何防止冠状病毒的肺炎,0
306,我想问你红霉素对耳炎有用吗,耳炎可不可以用红霉素治疗,1
307,哮喘病人吃什么食物好呢?,哮喘病人能吃什么药？,0
308,慢阻肺和肺气肿的区别有哪些,慢阻肺与肺气肿两种疾病怎样区别？,1
309,患变异性哮喘好几个月了，能治吗,得了变异性哮喘能治好吗,1
310,肺气肿用药需要用什么药？,治疗肺气肿的药有什么？,1
311,吃感冒药后喝酒会有什么后果,吃感冒药后可以服用保健品吗,0
312,请问百令胶囊一天需要服用多少呢？,请问百令胶囊是苦的还是咸的？,0
313,恒瑞克拉霉素缓释片的作用成分是什么药物,恒瑞克拉霉素缓释片是中成药吗,0
314,过敏性哮喘会不会引发生命危险,过敏性哮喘是怎样引起的,0
315,胸膜炎复发几率多大复发了是否能治？,胸膜炎复发的概率有多少若复发了能否再治？,1
316,怀孕第一个月吃感冒药有影响吗？,怀孕第一个月能吃感冒药吗,1
317,小孩咳嗽有痰还有点哮喘怎么办,小孩咳嗽有痰而且哮喘该怎么治？,1
318,胸膜炎可以治疗嘛？,胸膜炎如何预防？,0
319,慢阻肺与肺气肿有什么区别？,慢阻肺与肺气肿的区别是什么？,1
320,青霉素过敏能不能吃阿莫西林胶囊？,青霉素过敏吃阿莫西林胶囊有副作用吗？,0
